subj_id,age,gender,live_here,from_here,from_where,sibling_number,sibling_order,language,language_home,language_school,school,church,religion,religion_cat
th_children_157_robots,7,M,Chiang Mai,Yes,NA,1 younger brother & 1 younger sister,Oldest child,"Thai, English",Thai,"Thai, English",P.R.C,Not like going to temple because there's nothing to play but like to go Songkran,buddhist,buddhist
th_children_158_aliens,7,F,Chiang Mai,Yes,NA,1 siblings (+ me),Second child,Thai,Thai,Thai,P.R.C,Have been to church before,christian,christian
th_children_159_robots,7,M,Lamphun,No,"Family live in Lamphun, come to school with mother",None,Only child,"Thai, English",Thai,"Thai, English",P.R.C,Make merit,buddhist,buddhist
th_children_160_aliens,8,M,Chiang Mai,Yes,NA,None,Only child,Thai,Thai,Thai,P.R.C,Go to temple,buddhist,buddhist
th_children_161_robots,8,M,Chiang Mai,Yes,NA,None,Only child,Thai,Thai,"Thai, English",P.R.C,Yes,buddhist,buddhist
th_children_162_aliens,7,M,Missing Data,No,Move from Lamphun 2 years ago,1 older brother & 1 younger brother,Middle child,"Thai, English",Thai,"Thai, English",P.R.C,Yes,buddhist,buddhist
th_children_163_aliens,8,F,Chiang Mai,Yes,"Dad: Sing Buri, Mom: Chiangmai",1 sibling + me,Second child,Thai,Thai,Thai,P.R.C,Yes,buddhist,buddhist
th_children_164_robots,7,F,Chiang Mai,Yes,NA,1 older sister,Second child,"Thai, English",Thai,"Thai, English",P.R.C,"Give flower offerings, worship",buddhist,buddhist
th_children_165_aliens,7,F,Chiang Mai,Yes,NA,1 sibling + me,Oldest child,"Thai, English","Thai, Northern dialect",Thai,P.R.C,Yes,buddhist,buddhist
th_children_166_robots,7,F,Yes,Yes,NA,1 younger sister,Oldest child,Thai,Thai,Thai,P.R.C,Worship,buddhist,buddhist
th_children_167_aliens,7,F,Chiang Mai,Yes,NA,1 sibling + me,Oldest child,"English, Thai",Thai,"Thai, English",P.R.C,Go to temple,buddhist,buddhist
th_children_168_robots,7,M,Yes,Yes,NA,1 older sister,Second child,Thai,Thai,Thai,P.R.C,Like to go see fish,buddhist,buddhist
th_children_169_robots,7,F,Chiang Mai,No,Move from Bangkok,None,Only child,"Thai, English",Thai,Thai,P.R.C,Go to temple,buddhist,buddhist
th_children_170_aliens,7,F,Yes,Yes,NA,1 younger brother,Oldest child,"Thai, English",Thai,"Thai, English",P.R.C,At school,christian,christian
th_children_171_robots,7,M,Chiang Mai,Yes,NA,1 sibling,Oldest child,"Thai, English",Thai,"Thai, English",P.R.C,Go to temple,buddhist,buddhist
th_children_172_aliens,8,F,Yes,Yes,NA,1 younger brother,First Child,Thai,Thai,Thai,P.R.C,Worship,buddhist,buddhist
th_children_173_robots,7,M,Chiang Mai,No,Dad: from Trang,1 younger sister,Oldest child,Thai,Thai,Thai,Yes,"Like going to temple, go to see Luang Pu (monk) and give things",buddhist,buddhist
th_children_174_aliens,8,F,Chiang Mai,No,"Mom: Lamphun, Dad: Missing Data",3 siblings + me,Fourth child,"Thai, Northern dialect","Thai, Northern dialect",Thai,P.R.C,Yes,buddhist,buddhist
th_children_175_aliens,8,F,Chiang Mai,Yes,NA,1 younger brother,Oldest child,"Thai, English",Thai,"Thai, English",P.R.C,Yes,buddhist,buddhist
th_children_176_robots,8,F,Chiang Mai,No,Moved from bangkok,None,Only child,Thai,"Thai, Northern dialect",Thai,P.R.C,"Make merit, Worship",buddhist,buddhist
th_children_177_aliens,8,M,Yes,Yes,NA,1 older sister & 1 younger brother,Middle child,"English, Thai",Thai,Thai,P.R.C,Worship,buddhist,buddhist
th_children_178_robots,7,M,Chiang Mai,No,Moved from Lampang,None,Only child,Thai,Thai,Thai,P.R.C,Yes,buddhist,buddhist
th_children_179_aliens,7,F,Yes,No,"Mom: Bangkok, Dad: Bangkok",2 siblings + me,Third child,"Thai, English",Thai,Thai,P.R.C,Yes,buddhist,buddhist
th_children_180_robots,7,F,Yes,Yes,NA,None,Only child,"Thai, English",Thai,"Thai, English",P.R.C,Make merit,buddhist,buddhist
th_children_181_robots,8,F,Yes,Yes,NA,None,Only child,"Thai, Northern dialect, English","Thai, Northern dialect","Northern dialect, Thai",P.R.C,"Make merit, offer food to monks",buddhist,buddhist
th_children_182_aliens,7,M,Chiang Mai,Yes,NA,None,Only child,"Thai, English",Thai,Thai,P.R.C,Salah prayer at 1 - 2pm (5),islamic,islamic
th_children_183_robots,7,M,Yes,Yes,NA,4 older brothers & 1 younger sister,Sixth child,Thai,Thai,Thai,P.R.C,"Make merit on birthday, like to go to temple",buddhist,buddhist
th_children_184_aliens,7,F,Chiang Mai,Yes,NA,1 older sister,Second child,Thai,Northern dialect,Thai,P.R.C,Go to temple,buddhist,buddhist
th_children_185_robots,7,M,Yes,Yes,NA,1 older sister,Second child,"Thai, English",Thai,"Thai, English",P.R.C,Yes,buddhist,buddhist
th_children_186_aliens,6,M,Chiang Mai,Yes,NA,1 sibling + me,Oldest child,"Thai, English",Thai,Thai,P.R.C,Missing Data,i don't know,i don't know
th_children_187_robots,7,F,Yes,Yes,NA,None,Only child,"Thai, English",Thai,"Thai, English",P.R.C,"Worship, make merit for grandparents",buddhist,buddhist
th_children_188_aliens,7,M,Chiang Mai,Yes,NA,1 older brother,Second child,"Thai, Northern dialect",Thai,Thai,P.R.C,Go to temple,buddhist,buddhist
th_children_189_robots,7,F,Yes,Yes,NA,None,Only child,"Thai, English",Thai,"Thai, English",P.R.C,Help grandmother sell rings,buddhist,buddhist
th_children_190_aliens,8,F,Chiang Mai,Yes,"Mom: Ratchuburi, Dad: Chiangmai",None,Only child,"Thai, Chinese",Thai,Thai,P.R.C,Yes,buddhist,buddhist
th_children_191_robots,7,F,Yes,Yes,NA,1 older brother,Second child,"Thai, English",Thai,"Thai, English",P.R.C,"Go to temple not quite often, Do homework at home",buddhist,buddhist
th_children_192_aliens,8,M,Chiang Mai,No,Moved from Chai Prakan district,1 older brother,Second child,Thai,Thai,Thai,P.R.C,Yes,buddhist,buddhist
